Gemeentecode,Solvabiliteit,Netto schuldquote (correctie),Belastingcapaciteit,Grondexploitatie,Structurele exploitatieruimte,Verslagsoort,Jaar,CombinedKey,Netto schuldquote
Aa en Hunze,0.37,0.22,0.73,0.0,0.0,2023X000,2023-01-01,Aa en Hunze-2023X000,"0,23"
Aa en Hunze,0.36,0.35,0.71,0.0,0.02,2024X000,2024-01-01,Aa en Hunze-2024X000,"0,37"
Aa en Hunze,0.37,0.35,0.73,0.0,0.0,2025X000,2025-01-01,Aa en Hunze-2025X000,"0,36"
Aalsmeer,0.44,0.55,1.04,0.0,0.002,2023X000,2023-01-01,Aalsmeer-2023X000,"0,57"
Achtkarspelen,0.245,0.625,1.13,0.0,-0.016,2022X000,2022-01-01,Achtkarspelen-2022X000,"0,663"
Achtkarspelen,0.295,0.353,0.976,0.0,0.013000000000000001,2024X000,2024-01-01,Achtkarspelen-2024X000,"0,353"
Achtkarspelen,0.28,0.408,0.998,0.0,-0.017,2025X000,2025-01-01,Achtkarspelen-2025X000,"0,408"
Alblasserdam,0.33,0.72,1.022,0.0,0.02,2022X000,2022-01-01,Alblasserdam-2022X000,"0,76"
Alblasserdam,0.29,0.92,1.026,0.0,0.025,2023X000,2023-01-01,Alblasserdam-2023X000,"0,94"
Alblasserdam,0.26,0.74,1.045,0.0,0.009000000000000001,2024X000,2024-01-01,Alblasserdam-2024X000,"0,78"
Alblasserdam,0.21,1.01,1.077,0.0,0.001,2025X000,2025-01-01,Alblasserdam-2025X000,"1,05"
Alphen aan den Rijn,0.469,0.389,,0.0,0.006,2023X000,2023-01-01,Alphen aan den Rijn-2023X000,"0,5"
Ameland,0.19,1.0,0.99,0.0,-0.02,2025X000,2025-01-01,Ameland-2025X000,"1,01"
Amstelveen,0.71,-0.04,1.02,0.0,-0.01,2021X000,2021-01-01,Amstelveen-2021X000,"-0,04"
Baarle-Nassau,0.6,0.3,0.88,0.0,0.0,2020X000,2020-01-01,Baarle-Nassau-2020X000,"0,31"
Baarle-Nassau,0.41,0.36,0.98,0.0,0.0,2024X000,2024-01-01,Baarle-Nassau-2024X000,"0,37"
Baarle-Nassau,0.4,0.31,1.01,0.0,0.01,2025X000,2025-01-01,Baarle-Nassau-2025X000,"0,31"
Baarn,0.24,0.51,1.24,0.0,0.02,2021X000,2021-01-01,Baarn-2021X000,"0,52"
Baarn,0.24,0.53,,0.0,0.02,2022X000,2022-01-01,Baarn-2022X000,"0,54"
Baarn,0.262,0.537,1.368,0.0,0.04,2023X000,2023-01-01,Baarn-2023X000,"0,554"
Baarn,0.21,0.47700000000000004,1.38,0.0,0.03,2024X000,2024-01-01,Baarn-2024X000,"0,477"
Baarn,0.253,0.408,1.42,0.0,0.019,2025X000,2025-01-01,Baarn-2025X000,"0,41"
Beek,0.5429999999999999,-0.154,1.0290000000000001,0.0,-0.018000000000000002,2020X000,2020-01-01,Beek-2020X000,"-0,18"
Beek,0.485,-0.052000000000000005,1.037,0.0,-0.01,2021X000,2021-01-01,Beek-2021X000,"0,086"
Beek,0.5,-0.16,1.04,0.0,0.02,2022X000,2022-01-01,Beek-2022X000,"-0,01"
Beek,0.44,0.068,0.951,0.0,0.003,2023X000,2023-01-01,Beek-2023X000,"0,103"
Beek,0.44,0.385,0.9840000000000001,0.0,0.0,2024X000,2024-01-01,Beek-2024X000,"0,53"
Beek,0.354,0.305,0.9620000000000001,0.0,0.01,2025X000,2025-01-01,Beek-2025X000,"0,437"
Beekdaelen,0.562,-0.126,1.149,0.0,0.051,2021X000,2021-01-01,Beekdaelen-2021X000,"-0,027"
Beesel,0.62,-0.08,0.78,0.0,0.0,2020X000,2020-01-01,Beesel-2020X000,"-0,12"
Beesel,0.36,0.21,0.83,0.0,0.04,2021X000,2021-01-01,Beesel-2021X000,"0,21"
Beesel,0.47,-0.04,0.83,0.0,-0.02,2024X000,2024-01-01,Beesel-2024X000,"-0,05"
Berg en Dal,0.42,0.43,1.03,0.0,-0.001,2020X000,2020-01-01,Berg en Dal-2020X000,"0,56"
Berg en Dal,0.36,0.7,1.05,0.0,-0.036000000000000004,2021X000,2021-01-01,Berg en Dal-2021X000,"0,75"
Berg en Dal,0.33,0.58,1.05,0.0,-0.035,2022X000,2022-01-01,Berg en Dal-2022X000,"0,7"
Berg en Dal,0.32,0.59,0.92,0.0,0.001,2024X000,2024-01-01,Berg en Dal-2024X000,"0,7"
Berg en Dal,0.35,0.5,0.89,0.0,-0.018000000000000002,2025X000,2025-01-01,Berg en Dal-2025X000,"0,61"
Bergen (NH.),0.31,0.91,1.31,0.0,0.06,2022X000,2022-01-01,Bergen (NH.)-2022X000,"0,95"
Beverwijk,0.38,0.41,0.92,0.0,0.01,2025X000,2025-01-01,Beverwijk-2025X000,"0,52"
Blaricum,0.81,-0.787,1.645,0.0,0.011000000000000001,2024X000,2024-01-01,Blaricum-2024X000,"-0,763"
Blaricum,0.84,-0.731,1.704,0.0,0.013000000000000001,2025X000,2025-01-01,Blaricum-2025X000,"-0,705"
Bloemendaal,0.41100000000000003,0.619,1.79,0.0,-0.018000000000000002,2019X000,2019-01-01,Bloemendaal-2019X000,"0,624"
Bloemendaal,0.389,0.613,1.972,0.0,-0.012,2020X000,2020-01-01,Bloemendaal-2020X000,"0,629"
Bloemendaal,0.5329999999999999,0.41200000000000003,1.9380000000000002,0.0,-0.005,2021X000,2021-01-01,Bloemendaal-2021X000,"0,427"
Bloemendaal,0.496,0.409,2.174,0.0,0.083,2025X000,2025-01-01,Bloemendaal-2025X000,"0,417"
Borger-Odoorn,0.04,0.45,1.01,0.0,0.04,2024X000,2024-01-01,Borger-Odoorn-2024X000,"0,5"
Borger-Odoorn,0.35,0.39,0.98,0.0,0.02,2025X000,2025-01-01,Borger-Odoorn-2025X000,"0,44"
Bronckhorst,0.601,0.023,1.06,0.0,-0.04,2020X000,2020-01-01,Bronckhorst-2020X000,"0,126"
Bronckhorst,0.5820000000000001,0.084,1.13,0.0,0.006999999999999999,2021X000,2021-01-01,Bronckhorst-2021X000,"0,189"
Bunnik,0.42200000000000004,0.614,1.3259999999999998,0.0,-0.024,2022X000,2022-01-01,Bunnik-2022X000,"0,614"
Bunnik,0.435,0.612,1.371,0.0,0.004,2023X000,2023-01-01,Bunnik-2023X000,"0,612"
Buren,0.444,0.026000000000000002,1.245,0.0,0.023,2025X000,2025-01-01,Buren-2025X000,"0,027"
Dantumadiel,0.07,0.63,1.07,0.0,-0.02,2021X000,2021-01-01,Dantumadiel-2021X000,"0,61"
Dantumadiel,0.22,0.39,1.04,0.0,0.11,2023X000,2023-01-01,Dantumadiel-2023X000,"0,41"
De Fryske Marren,0.205,0.469,0.823,0.0,0.022000000000000002,2024X000,2024-01-01,De Fryske Marren-2024X000,"0,502"
De Fryske Marren,0.27699999999999997,0.452,0.861,0.0,0.048,2025X000,2025-01-01,De Fryske Marren-2025X000,"0,482"
De Ronde Venen,0.29,0.54,1.03,0.0,0.013999999999999999,2022X000,2022-01-01,De Ronde Venen-2022X000,"0,56"
De Ronde Venen,0.24,0.66,1.01,0.0,0.005,2023X000,2023-01-01,De Ronde Venen-2023X000,"0,69"
De Ronde Venen,0.14,0.72,1.0,0.0,-0.05,2024X000,2024-01-01,De Ronde Venen-2024X000,"0,74"
De Ronde Venen,0.08,0.88,1.0,0.0,0.0,2025X000,2025-01-01,De Ronde Venen-2025X000,"0,9"
Den Haag,0.337,0.408,0.941,0.0,0.006,2023X000,2023-01-01,Den Haag-2023X000,"0,45"
Den Haag,0.318,0.294,0.929,0.0,0.008,2024X000,2024-01-01,Den Haag-2024X000,"0,328"
Den Haag,0.29100000000000004,0.38299999999999995,0.929,0.0,0.015,2025X000,2025-01-01,Den Haag-2025X000,"0,416"
Doesburg,0.534,0.263,1.113,0.0,0.016,2022X000,2022-01-01,Doesburg-2022X000,"0,39"
Doesburg,0.5670000000000001,0.114,1.075,0.0,0.03,2024X000,2024-01-01,Doesburg-2024X000,"0,222"
Doesburg,0.529,0.20600000000000002,1.13,0.0,-0.009000000000000001,2025X000,2025-01-01,Doesburg-2025X000,"0,285"
Drimmelen,0.53,0.42,1.08,0.0,-0.02,2019X000,2019-01-01,Drimmelen-2019X000,"0,42"
Drimmelen,0.42,0.59,0.97,0.0,-0.07,2021X000,2021-01-01,Drimmelen-2021X000,"0,61"
Edam-Volendam,0.41700000000000004,0.597,0.9420000000000001,0.0,0.023,2023X000,2023-01-01,Edam-Volendam-2023X000,"0,743"
Edam-Volendam,0.34600000000000003,0.752,0.8740000000000001,0.0,-0.095,2024X000,2024-01-01,Edam-Volendam-2024X000,"0,854"
Edam-Volendam,0.295,0.9590000000000001,0.872,0.0,0.002,2025X000,2025-01-01,Edam-Volendam-2025X000,"1,06"
Eemnes,0.306,1.0190000000000001,1.173,0.0,0.012,2019X000,2019-01-01,Eemnes-2019X000,"1,35"
Eijsden-Margraten,0.23,1.22,1.18,0.0,0.03,2019X000,2019-01-01,Eijsden-Margraten-2019X000,"1,3"
Eijsden-Margraten,0.14,1.44,1.17,0.0,0.01,2022X000,2022-01-01,Eijsden-Margraten-2022X000,"1,58"
Eijsden-Margraten,1.16,1.21,1.18,0.0,0.02,2024X000,2024-01-01,Eijsden-Margraten-2024X000,"1,33"
Eijsden-Margraten,0.16,1.23,1.28,0.0,0.0,2025X000,2025-01-01,Eijsden-Margraten-2025X000,"1,33"
Eindhoven,0.4,0.39,0.95,0.0,0.03,2024X000,2024-01-01,Eindhoven-2024X000,"0,4"
Eindhoven,0.41,0.37,0.95,0.0,0.02,2025X000,2025-01-01,Eindhoven-2025X000,"0,39"
Elburg,0.61,0.23,0.89,0.0,0.034,2019X000,2019-01-01,Elburg-2019X000,"0,32"
Elburg,0.5,0.36,0.97,0.0,0.027999999999999997,2021X000,2021-01-01,Elburg-2021X000,"0,42"
Enkhuizen,0.15,0.91,1.07,0.0,0.01,2021X000,2021-01-01,Enkhuizen-2021X000,"1,01"
Enkhuizen,0.11,0.95,1.09,0.0,0.02,2022X000,2022-01-01,Enkhuizen-2022X000,"1,04"
Epe,0.61,0.03,0.94,0.0,0.01,2022X000,2022-01-01,Epe-2022X000,"0,09"
Epe,0.81,-0.16,0.98,0.0,0.01,2023X000,2023-01-01,Epe-2023X000,"-0,11"
Ermelo,0.34,0.53,1.01,0.0,-0.03,2020X000,2020-01-01,Ermelo-2020X000,"0,53"
Ermelo,0.38,0.51,1.16,0.0,0.009000000000000001,2025X000,2025-01-01,Ermelo-2025X000,"0,6"
Etten-Leur,0.19,0.69,0.91,0.0,0.07,2022X000,2022-01-01,Etten-Leur-2022X000,"0,7"
Gennep,0.263,0.544,0.955,0.0,-0.001,2020X000,2020-01-01,Gennep-2020X000,"0,544"
Gennep,0.209,0.65,0.977,0.0,0.002,2021X000,2021-01-01,Gennep-2021X000,"0,67"
Gorinchem,0.0,0.0,0.0,0.0,0.0,2024X000,2024-01-01,Gorinchem-2024X000,0
Gulpen-Wittem,0.1,1.09,1.18,0.0,0.05,2022X000,2022-01-01,Gulpen-Wittem-2022X000,"1,26"
Gulpen-Wittem,0.09,1.13,1.06,0.0,0.05,2023X000,2023-01-01,Gulpen-Wittem-2023X000,"1,18"
Gulpen-Wittem,0.08,1.64,1.14,0.0,0.05,2024X000,2024-01-01,Gulpen-Wittem-2024X000,"1,7"
Gulpen-Wittem,0.09,1.66,1.22,0.0,0.02,2025X000,2025-01-01,Gulpen-Wittem-2025X000,"1,7"
Haarlem,0.17,0.83,1.15,0.0,-0.05,2021X000,2021-01-01,Haarlem-2021X000,"0,84"
Haarlem,0.27,0.7,1.11,0.0,0.04,2023X000,2023-01-01,Haarlem-2023X000,"0,72"
Heemstede,0.257,0.7909999999999999,1.2,0.0,0.002,2019X000,2019-01-01,Heemstede-2019X000,"0,797"
Heemstede,0.257,0.8059999999999999,1.2429999999999999,0.0,0.005,2020X000,2020-01-01,Heemstede-2020X000,"0,813"
Heemstede,0.6659999999999999,0.203,1.307,0.0,0.006999999999999999,2021X000,2021-01-01,Heemstede-2021X000,"0,209"
Heemstede,0.665,0.17300000000000001,1.349,0.0,0.023,2022X000,2022-01-01,Heemstede-2022X000,"0,178"
Heemstede,0.615,0.183,1.218,0.0,0.009000000000000001,2023X000,2023-01-01,Heemstede-2023X000,"0,207"
Heemstede,0.518,0.426,1.278,0.0,0.008,2024X000,2024-01-01,Heemstede-2024X000,"0,451"
Heemstede,0.5,0.35100000000000003,1.295,0.0,0.009000000000000001,2025X000,2025-01-01,Heemstede-2025X000,"0,374"
Heerde,0.27,0.88,1.16,0.0,0.006,2023X000,2023-01-01,Heerde-2023X000,"0,91"
Heeze-Leende,0.18,0.6,1.13,0.0,0.02,2022X000,2022-01-01,Heeze-Leende-2022X000,"0,79"
Heeze-Leende,0.19,0.85,1.04,0.0,0.0,2023X000,2023-01-01,Heeze-Leende-2023X000,"1,03"
Heeze-Leende,0.19,0.88,1.1,0.0,-0.01,2024X000,2024-01-01,Heeze-Leende-2024X000,"1,07"
Heeze-Leende,0.24,0.6,1.06,0.0,-0.02,2025X000,2025-01-01,Heeze-Leende-2025X000,"0,67"
Het Hogeland,0.16,0.63,1.13,0.0,0.02,2020X000,2020-01-01,Het Hogeland-2020X000,"0,68"
Heumen,0.27,0.18,1.14,0.0,0.002,2020X000,2020-01-01,Heumen-2020X000,"0,43"
Heumen,0.25,0.41,1.12,0.0,0.032,2023X000,2023-01-01,Heumen-2023X000,"0,6"
Heumen,0.32,0.26,1.03,0.0,0.025,2024X000,2024-01-01,Heumen-2024X000,"0,46"
Hilversum,0.25,0.75,1.02,0.0,0.001,2020X000,2020-01-01,Hilversum-2020X000,"0,76"
Hilversum,0.24,0.59,0.97,0.0,0.025,2024X000,2024-01-01,Hilversum-2024X000,"0,64"
Hoeksche Waard,0.5,0.4,0.88,0.0,0.0,2020X000,2020-01-01,Hoeksche Waard-2020X000,"0,44"
Hoeksche Waard,0.48,0.58,0.85,0.0,0.0,2022X000,2022-01-01,Hoeksche Waard-2022X000,"0,66"
Hoeksche Waard,0.48,0.56,0.88,0.0,0.0,2025X000,2025-01-01,Hoeksche Waard-2025X000,"0,64"
Houten,0.37,0.4,0.95,0.0,0.033,2023X000,2023-01-01,Houten-2023X000,"0,42"
Kampen,0.26,0.76,0.75,0.0,0.011000000000000001,2025X000,2025-01-01,Kampen-2025X000,"0,84"
Katwijk,0.2,1.09,0.99,0.0,0.03,2025X000,2025-01-01,Katwijk-2025X000,"1,22"
Kerkrade,0.14300000000000002,0.862,,0.0,0.016,2022X000,2022-01-01,Kerkrade-2022X000,"1,007"
Kerkrade,0.12,0.8320000000000001,1.091,0.0,0.01,2023X000,2023-01-01,Kerkrade-2023X000,"0,988"
Kerkrade,0.147,0.735,1.102,0.0,0.027999999999999997,2025X000,2025-01-01,Kerkrade-2025X000,"0,871"
Krimpenerwaard,0.32,0.25,1.13,0.0,0.002,2020X000,2020-01-01,Krimpenerwaard-2020X000,"0,29"
Krimpenerwaard,0.39,0.37,1.1,0.0,0.0,2021X000,2021-01-01,Krimpenerwaard-2021X000,"0,43"
Krimpenerwaard,0.24,0.52,0.99,0.0,0.006999999999999999,2023X000,2023-01-01,Krimpenerwaard-2023X000,"0,6"
Krimpenerwaard,0.28,0.69,0.96,0.0,0.001,2024X000,2024-01-01,Krimpenerwaard-2024X000,"0,76"
Krimpenerwaard,0.26,0.72,0.96,0.0,0.0,2025X000,2025-01-01,Krimpenerwaard-2025X000,"0,8"
Landsmeer,0.18,0.66,1.16,0.0,0.0,2020X000,2020-01-01,Landsmeer-2020X000,"0,66"
Laren,0.159,1.133,1.59,0.0,-0.012,2019X000,2019-01-01,Laren-2019X000,"1,432"
Laren,0.17300000000000001,1.0270000000000001,1.59,0.0,0.006,2020X000,2020-01-01,Laren-2020X000,"1,325"
Laren,0.085,0.821,1.59,0.0,-0.026000000000000002,2021X000,2021-01-01,Laren-2021X000,"1,416"
Laren,0.09699999999999999,0.852,1.59,0.0,-0.013000000000000001,2022X000,2022-01-01,Laren-2022X000,"1,387"
Laren,0.262,0.32,1.6780000000000002,0.0,0.0,2023X000,2023-01-01,Laren-2023X000,"0,783"
Laren,0.21899999999999997,0.561,1.7480000000000002,0.0,0.004,2024X000,2024-01-01,Laren-2024X000,"0,988"
Leiderdorp,0.373,0.62,1.327,0.0,-0.005,2021X000,2021-01-01,Leiderdorp-2021X000,"0,639"
Leiderdorp,0.32899999999999996,0.6579999999999999,1.21,0.0,0.016,2023X000,2023-01-01,Leiderdorp-2023X000,"0,711"
Leusden,0.45,0.08,0.93,0.0,0.02,2021X000,2021-01-01,Leusden-2021X000,"0,1"
Lisse,0.231,0.865,1.0,0.0,0.0,2019X000,2019-01-01,Lisse-2019X000,"1,279"
Lisse,0.198,1.307,1.136,0.0,0.017,2020X000,2020-01-01,Lisse-2020X000,"1,495"
Lisse,0.142,1.608,1.085,0.0,-0.02,2021X000,2021-01-01,Lisse-2021X000,"1,759"
Lisse,0.132,1.5390000000000001,1.141,0.0,0.006999999999999999,2022X000,2022-01-01,Lisse-2022X000,"1,645"
Lisse,0.141,1.3980000000000001,1.192,0.0,0.009000000000000001,2023X000,2023-01-01,Lisse-2023X000,"1,506"
Lisse,0.198,1.07,1.26,0.0,0.0,2024X000,2024-01-01,Lisse-2024X000,"1,191"
Lisse,0.183,1.081,1.28,0.0,0.01,2025X000,2025-01-01,Lisse-2025X000,"1,215"
Lopik,0.858,0.134,1.177,0.0,0.008,2019X000,2019-01-01,Lopik-2019X000,"0,133"
Lopik,0.442,0.381,1.32,0.0,,2021X000,2021-01-01,Lopik-2021X000,"0,378"
Lopik,0.384,0.368,1.21,0.0,0.001,2022X000,2022-01-01,Lopik-2022X000,"0,335"
Lopik,0.345,0.34700000000000003,1.24,0.0,0.048,2023X000,2023-01-01,Lopik-2023X000,"0,347"
Lopik,0.28300000000000003,0.469,1.29,0.0,0.003,2024X000,2024-01-01,Lopik-2024X000,"0,435"
Lopik,0.26,0.625,1.29,0.0,0.002,2025X000,2025-01-01,Lopik-2025X000,"0,595"
Maassluis,0.32,0.61,1.0,0.0,0.01,2025X000,2025-01-01,Maassluis-2025X000,"0,68"
Medemblik,0.51,0.003,1.11,0.0,0.0,2025X000,2025-01-01,Medemblik-2025X000,"0,004"
Meerssen,0.305,1.253,1.383,0.0,-0.009000000000000001,2019X000,2019-01-01,Meerssen-2019X000,"1,711"
Meerssen,0.282,0.29,1.4369999999999998,0.0,-0.005,2020X000,2020-01-01,Meerssen-2020X000,"1,595"
Meerssen,0.28,0.248,1.4509999999999998,0.0,-0.027000000000000003,2021X000,2021-01-01,Meerssen-2021X000,"1,52"
Meerssen,0.3,0.12,1.44,0.0,-0.023,2022X000,2022-01-01,Meerssen-2022X000,"1,287"
Meerssen,0.311,-0.025,1.334,0.0,0.019,2023X000,2023-01-01,Meerssen-2023X000,"1,113"
Meerssen,0.34700000000000003,-0.085,1.358,0.0,0.031,2024X000,2024-01-01,Meerssen-2024X000,"0,894"
Meerssen,0.302,0.358,1.365,0.0,0.032,2025X000,2025-01-01,Meerssen-2025X000,"1,359"
Midden-Delfland,0.38,1.12,1.1,0.0,0.09,2024X000,2024-01-01,Midden-Delfland-2024X000,"1,15"
Midden-Groningen,0.142,0.622,1.022,0.0,0.005,2025X000,2025-01-01,Midden-Groningen-2025X000,"0,67"
Moerdijk,0.52,0.16,0.96,0.0,0.02,2021X000,2021-01-01,Moerdijk-2021X000,"0,26"
Montferland,0.34,0.55,1.01,0.0,0.006999999999999999,2024X000,2024-01-01,Montferland-2024X000,"0,61"
Montferland,0.28,0.71,1.01,0.0,0.006,2025X000,2025-01-01,Montferland-2025X000,"0,8"
Montfoort,0.223,0.41100000000000003,1.185,0.0,-0.023,2019X000,2019-01-01,Montfoort-2019X000,"0,419"
Montfoort,0.201,0.63,0.0,0.0,0.004,2020X000,2020-01-01,Montfoort-2020X000,"0,637"
Montfoort,0.09300000000000001,0.782,1.198,0.0,-0.027000000000000003,2021X000,2021-01-01,Montfoort-2021X000,"0,779"
Montfoort,0.133,0.336,1.327,0.0,0.009000000000000001,2023X000,2023-01-01,Montfoort-2023X000,"0,341"
Montfoort,0.138,0.355,1.2590000000000001,0.0,0.024,2024X000,2024-01-01,Montfoort-2024X000,"0,358"
Montfoort,0.174,0.488,1.235,0.0,0.01,2025X000,2025-01-01,Montfoort-2025X000,"0,491"
Mook en Middelaar,0.47,-0.37,1.14,0.0,-0.05,2019X000,2019-01-01,Mook en Middelaar-2019X000,"-0,37"
Mook en Middelaar,0.4,-0.03,1.13,0.0,0.0,2020X000,2020-01-01,Mook en Middelaar-2020X000,"-0,03"
Mook en Middelaar,0.3,0.12,1.1,0.0,-0.05,2021X000,2021-01-01,Mook en Middelaar-2021X000,"0,15"
Mook en Middelaar,0.36,-0.01,1.03,0.0,-0.04,2022X000,2022-01-01,Mook en Middelaar-2022X000,"0,02"
Mook en Middelaar,0.39,-0.04,1.03,0.0,-0.07,2023X000,2023-01-01,Mook en Middelaar-2023X000,0
Mook en Middelaar,0.4,-0.03,1.03,0.0,-0.03,2024X000,2024-01-01,Mook en Middelaar-2024X000,0
Mook en Middelaar,0.4,0.04,1.03,0.0,0.0,2025X000,2025-01-01,Mook en Middelaar-2025X000,"0,07"
Noardeast-Fryslân,0.19,0.57,1.08,0.0,0.006999999999999999,2019X000,2019-01-01,Noardeast-Fryslân-2019X000,"0,61"
Noardeast-Fryslân,0.14,0.69,1.06,0.0,-0.02,2020X000,2020-01-01,Noardeast-Fryslân-2020X000,"0,66"
Noardeast-Fryslân,0.18,0.59,0.85,0.0,0.03,2024X000,2024-01-01,Noardeast-Fryslân-2024X000,"0,64"
Noordenveld,0.19,0.64,0.91,0.0,0.03,2022X000,2022-01-01,Noordenveld-2022X000,"0,67"
Oegstgeest,0.25,0.78,1.584,0.0,0.038,2025X000,2025-01-01,Oegstgeest-2025X000,"0,812"
Oirschot,0.373,0.884,1.068,0.0,0.002,2021X000,2021-01-01,Oirschot-2021X000,"0,816"
Oirschot,0.363,0.9129999999999999,1.044,0.0,0.001,2022X000,2022-01-01,Oirschot-2022X000,"0,847"
Oirschot,0.36,0.846,0.912,0.0,-0.003,2023X000,2023-01-01,Oirschot-2023X000,"0,882"
Oldebroek,0.34,0.39,0.9,0.0,0.02,2023X000,2023-01-01,Oldebroek-2023X000,"0,48"
Ooststellingwerf,0.45,0.19,0.84,0.0,0.02,2024X000,2024-01-01,Ooststellingwerf-2024X000,"0,29"
Ooststellingwerf,0.37,0.26,0.83,0.0,0.0,2025X000,2025-01-01,Ooststellingwerf-2025X000,"0,32"
Oostzaan,0.122,1.3090000000000002,1.2009999999999998,0.0,0.011000000000000001,2019X000,2019-01-01,Oostzaan-2019X000,"1,331"
Oostzaan,0.129,1.371,1.319,0.0,0.006999999999999999,2020X000,2020-01-01,Oostzaan-2020X000,"1,394"
Oostzaan,0.08,0.184,1.406,0.0,0.006,2021X000,2021-01-01,Oostzaan-2021X000,"0,149"
Oostzaan,0.064,1.5119999999999998,1.3559999999999999,0.0,-0.033,2022X000,2022-01-01,Oostzaan-2022X000,"1,546"
Oostzaan,0.05,1.45,1.365,0.0,0.022000000000000002,2023X000,2023-01-01,Oostzaan-2023X000,"1,48"
Oostzaan,0.086,1.4169999999999998,1.401,0.0,0.026000000000000002,2024X000,2024-01-01,Oostzaan-2024X000,"1,377"
Ouder-Amstel,0.6,-0.15,1.17,0.0,0.06,2021X000,2021-01-01,Ouder-Amstel-2021X000,"-0,15"
Ouder-Amstel,0.49,-0.084,1.114,0.0,0.02,2022X000,2022-01-01,Ouder-Amstel-2022X000,"-0,094"
Ouder-Amstel,0.52,0.09699999999999999,1.04,0.0,0.006,2023X000,2023-01-01,Ouder-Amstel-2023X000,"0,088"
Ouder-Amstel,0.39,0.2,1.06,0.0,0.01,2024X000,2024-01-01,Ouder-Amstel-2024X000,"0,19"
Ouder-Amstel,0.37,0.172,1.13,0.0,0.01,2025X000,2025-01-01,Ouder-Amstel-2025X000,"0,163"
Oudewater,0.41,0.17,1.09,0.0,0.0,2019X000,2019-01-01,Oudewater-2019X000,"0,21"
Overbetuwe,0.168,1.051,0.884,0.0,0.062,2021X000,2021-01-01,Overbetuwe-2021X000,
Papendrecht,0.44,0.63,1.0,0.0,0.02,2024X000,2024-01-01,Papendrecht-2024X000,"0,8"
Papendrecht,0.45,0.46,0.96,0.0,0.02,2025X000,2025-01-01,Papendrecht-2025X000,"0,71"
Putten,0.72,-0.18,0.75,0.0,0.064,2024X000,2024-01-01,Putten-2024X000,"-0,07"
Renkum,0.27,0.29,1.27,0.0,0.01,2019X000,2019-01-01,Renkum-2019X000,"0,35"
Renkum,0.20600000000000002,0.35,1.291,0.0,-0.015,2020X000,2020-01-01,Renkum-2020X000,"0,402"
Renswoude,0.33,1.98,1.19,0.0,-0.01,2022X000,2022-01-01,Renswoude-2022X000,"2,1"
Rheden,0.172,0.846,0.9,0.0,-0.011000000000000001,2020X000,2020-01-01,Rheden-2020X000,"0,863"
Rheden,0.14,0.77,0.9,0.0,-0.013000000000000001,2021X000,2021-01-01,Rheden-2021X000,"0,81"
Rheden,0.15,0.93,0.92,0.0,0.016,2023X000,2023-01-01,Rheden-2023X000,"0,97"
Rheden,0.14,0.85,0.92,0.0,0.011000000000000001,2024X000,2024-01-01,Rheden-2024X000,"0,89"
Rheden,0.12,0.83,0.92,0.0,0.008,2025X000,2025-01-01,Rheden-2025X000,"0,87"
Rhenen,0.29,0.84,1.07,0.0,0.003,2019X000,2019-01-01,Rhenen-2019X000,"0,99"
Ridderkerk,0.38,0.44,0.91,0.0,-0.002,2019X000,2019-01-01,Ridderkerk-2019X000,"0,44"
Rozendaal,0.87,-1.52,1.31,0.0,0.002,2019X000,2019-01-01,Rozendaal-2019X000,"-1,52"
Rozendaal,0.83,-1.38,1.2,0.0,0.0,2022X000,2022-01-01,Rozendaal-2022X000,"-1,38"
Rozendaal,0.83,-1.38,1.2,0.0,-0.003,2023X000,2023-01-01,Rozendaal-2023X000,"-1,38"
Rozendaal,0.78,-0.56,1.27,0.0,0.0,2024X000,2024-01-01,Rozendaal-2024X000,"-0,56"
Rozendaal,0.77,-0.48,1.27,0.0,-0.036000000000000004,2025X000,2025-01-01,Rozendaal-2025X000,"-0,48"
Scherpenzeel,0.54,-0.12,1.1,0.0,0.006999999999999999,2019X000,2019-01-01,Scherpenzeel-2019X000,"0,14"
Schiermonnikoog,0.16,0.9,1.13,0.0,0.015,2019X000,2019-01-01,Schiermonnikoog-2019X000,"0,92"
Schiermonnikoog,0.16,0.85,1.14,0.0,0.018000000000000002,2020X000,2020-01-01,Schiermonnikoog-2020X000,"0,89"
Schiermonnikoog,0.24,0.66,1.09,0.0,-0.017,2021X000,2021-01-01,Schiermonnikoog-2021X000,"0,69"
Schiermonnikoog,0.33,0.4,1.02,0.0,0.009000000000000001,2022X000,2022-01-01,Schiermonnikoog-2022X000,"0,44"
Simpelveld,0.38,0.51,1.13,0.0,0.01,2019X000,2019-01-01,Simpelveld-2019X000,"0,56"
Simpelveld,0.34,0.57,1.17,0.0,0.0,2020X000,2020-01-01,Simpelveld-2020X000,"0,62"
Simpelveld,0.33,0.46,1.1,0.0,0.0,2021X000,2021-01-01,Simpelveld-2021X000,"0,59"
Simpelveld,0.27,0.71,1.03,0.0,0.01,2022X000,2022-01-01,Simpelveld-2022X000,"0,8"
Simpelveld,0.23,0.95,1.03,0.0,-0.01,2023X000,2023-01-01,Simpelveld-2023X000,"1,04"
Simpelveld,0.2,1.04,1.07,0.0,0.01,2024X000,2024-01-01,Simpelveld-2024X000,"1,05"
Simpelveld,0.21,0.69,1.16,0.0,-0.01,2025X000,2025-01-01,Simpelveld-2025X000,"0,77"
